Nr,Date,SWRos2,SWRos3
422,2015-02-26,26.15161857,17.3447312
423,2015-02-27,25.98794404,17.18257689
424,2015-02-28,25.9544722,17.15052905
425,2015-03-01,26.04815502,17.24410266
426,2015-03-02,26.85242312,18.04900083
427,2015-03-03,26.45501058,17.6519964
428,2015-03-04,26.17000705,17.3679976
429,2015-03-05,25.9800047,17.17866507
430,2015-03-06,25.91377371,17.11683083
431,2015-03-07,25.95315221,17.14406682
432,2015-03-08,25.8354348,17.02937788
433,2015-03-09,25.75695654,16.95291859
434,2015-03-10,25.82551217,17.03072064
435,2015-03-11,25.75034145,16.95381376
436,2015-03-12,25.70022763,16.90254251
437,2015-03-13,25.66681842,16.86836167
438,2015-03-14,25.64454561,16.84557445
439,2015-03-15,25.62969708,16.83038296
440,2015-03-16,25.61979805,16.82025531
441,2015-03-17,25.6131987,16.81350354
442,2015-03-18,25.60879913,16.80900236
443,2015-03-19,25.60586609,16.80600157
444,2015-03-20,25.60391073,16.80400105
445,2015-03-21,25.60260715,16.80266737
446,2015-03-22,25.6017381,16.80177824
447,2015-03-23,26.04265021,17.26345218
448,2015-03-24,25.89510014,17.10896812
449,2015-03-25,25.79673342,17.00597875
450,2015-03-26,25.73115562,16.93731917
451,2015-03-27,25.7116795,16.91578853
452,2015-03-28,26.0228998,17.24841386
453,2015-03-29,25.95803935,17.18002307
454,2015-03-30,26.34792066,17.45841941
455,2015-03-31,26.35923441,17.49757579
456,2015-04-01,26.85746501,18.01413743
457,2015-04-02,27.25725844,18.42304742
458,2015-04-03,26.88374057,18.05601729
459,2015-04-04,26.45582705,17.63734486
460,2015-04-05,26.17055137,17.35822991
461,2015-04-06,26.02588204,17.22064259
462,2015-04-07,25.89884414,17.09632653
463,2015-04-08,25.79922942,16.99755102
464,2015-04-09,25.73281962,16.93170068
465,2015-04-10,25.80942089,17.01657536
466,2015-04-11,25.73961393,16.94438358
467,2015-04-12,26.02659997,17.25157908
468,2015-04-13,26.79108318,17.94007685
469,2015-04-14,26.42464714,17.59264241
470,2015-04-15,26.27231664,17.44729558
471,2015-04-16,26.2003127,17.3812954
472,2015-04-17,26.00020847,17.18753027
473,2015-04-18,25.86680564,17.05835351
474,2015-04-19,25.7927932,16.98813381
475,2015-04-20,25.7285288,16.92542254
476,2015-04-21,25.68568587,16.88361503
477,2015-04-22,25.86902672,17.08149614
478,2015-04-23,25.91589392,17.13313128
479,2015-04-24,25.82551863,17.03798554
480,2015-04-25,25.75034575,16.95865703
481,2015-04-26,26.04867418,17.27698892
482,2015-04-27,25.94463009,17.16648131
483,2015-04-28,25.84467597,17.06021876
484,2015-04-29,25.76311731,16.97347917
485,2015-04-30,25.75425845,16.96414098
486,2015-05-01,25.99084196,17.2162531
487,2015-05-02,25.86056131,17.07750206
488,2015-05-03,25.78862979,17.00089885
489,2015-05-04,25.74067535,16.94982993
490,2015-05-05,25.73929584,16.9320133
491,2015-05-06,26.23825934,17.46904547
492,2015-05-07,26.02550623,17.24603031
493,2015-05-08,25.88367082,17.09735354
494,2015-05-09,25.78911388,16.93929966
495,2015-05-10,25.75666284,16.83232058
496,2015-05-11,25.73524646,16.8201313
497,2015-05-12,25.74868305,16.87951258
498,2015-05-13,25.72426376,16.88446966
499,2015-05-14,25.94018446,17.13046022
500,2015-05-15,26.05428628,17.26265795
501,2015-05-16,25.85913848,17.06272645
502,2015-05-17,25.67604072,16.88651595
503,2015-05-18,25.75114841,16.96565157
504,2015-05-19,25.95806375,17.18452619
505,2015-05-20,26.17206073,17.41145657
506,2015-05-21,26.04177715,17.27198238
507,2015-05-22,26.00040286,17.22744722
508,2015-05-23,26.71469081,17.98801137
509,2015-05-24,26.34312721,17.59200758
510,2015-05-25,26.21618384,17.45664265
511,2015-05-26,26.52511594,17.7856048
512,2015-05-27,27.52561549,18.79666355
513,2015-05-28,26.88374366,18.13110903
514,2015-05-29,26.63763398,17.88104369
515,2015-05-30,26.29175599,17.52069579
516,2015-05-31,26.46935075,17.71518303
517,2015-06-01,26.71235919,17.95737617
518,2015-06-02,26.35646479,17.58744333
519,2015-06-03,26.57926133,17.8235998
520,2015-06-04,26.25284089,17.48239987
521,2015-06-05,26.05010961,17.2707802
522,2015-06-06,26.54952389,17.80536519
523,2015-06-07,26.44425584,17.69515656
524,2015-06-08,26.19332576,17.42923151
525,2015-06-09,26.04090027,17.26776821
526,2015-06-10,25.90879828,17.12767004
527,2015-06-11,25.82072411,17.03426339
528,2015-06-12,25.74714941,16.93716716
529,2015-06-13,25.89372103,17.08834972
530,2015-06-14,25.79493723,17.00651043
531,2015-06-15,25.63887239,16.86372149
532,2015-06-16,25.32716751,16.5778326
533,2015-06-17,25.01860351,16.29611124
534,2015-06-18,24.68952799,15.99423839
535,2015-06-19,24.3767966,15.70875699
536,2015-06-20,24.04845523,15.40959607
537,2015-06-21,23.65786189,15.05018863
538,2015-06-22,23.51814127,14.9344335
539,2015-06-23,23.19835879,14.64678111
540,2015-06-24,24.0292037,15.52981779
541,2015-06-25,24.52339622,16.05497259
542,2015-06-26,25.50995488,17.00210754
543,2015-06-27,25.61503302,17.01447512
544,2015-06-28,25.62472713,16.95860074
545,2015-06-29,25.61588928,16.89140159
546,2015-06-30,25.95312875,17.22449882
547,2015-07-01,25.55848429,16.83831111
548,2015-07-02,25.16110289,16.47186333
549,2015-07-03,24.76719087,16.11127587
550,2015-07-04,24.35876834,15.73882598
551,2015-07-05,24.07341582,15.48012235
552,2015-07-06,24.11431797,15.55692989
553,2015-07-07,25.33190951,16.8306107
554,2015-07-08,25.37656749,16.8519174
555,2015-07-09,25.83409504,17.23990932
556,2015-07-10,25.75606336,17.09327288
557,2015-07-11,25.9683932,17.27506871
558,2015-07-12,25.84559547,17.11671248
559,2015-07-13,25.52272966,16.80847809
560,2015-07-14,25.3907918,16.69609368
561,2015-07-15,25.79771682,17.0869438
562,2015-07-16,25.64174017,16.91154498
563,2015-07-17,25.1995127,16.5034663
564,2015-07-18,25.69903364,16.98870464
565,2015-07-19,25.36521936,16.68478946
566,2015-07-20,24.90603468,16.26084028
567,2015-07-21,24.48214678,15.86908329
568,2015-07-22,24.46884267,15.87558015
569,2015-07-23,24.2851037,15.70838946
570,2015-07-24,24.13800037,15.61410248
571,2015-07-25,23.71621349,15.22944011
572,2015-07-26,25.35611396,16.90546732
573,2015-07-27,26.16296489,17.62918364
574,2015-07-28,25.98965772,17.36791069
575,2015-07-29,26.07850627,17.40910978
576,2015-07-30,26.18069279,17.4818097
577,2015-07-31,26.10324786,17.37688124
578,2015-08-01,25.99354509,17.24573886
579,2015-08-02,26.06584965,17.31151517
580,2015-08-03,25.92489432,17.15610245
581,2015-08-04,25.74877983,16.99340344
582,2015-08-05,25.620291,16.86341093
583,2015-08-06,25.4253694,16.7048592
584,2015-08-07,25.12880057,16.40530555
585,2015-08-08,24.73146927,16.03996275
586,2015-08-09,24.41094406,15.74590605
587,2015-08-10,24.05126872,15.41645127
588,2015-08-11,24.00298059,15.38340778
589,2015-08-12,23.60459666,15.02043774
590,2015-08-13,23.18904284,14.63976344
591,2015-08-14,22.82547377,14.31037659
592,2015-08-15,22.44403201,13.98101887
593,2015-08-16,22.03232287,13.61075844
594,2015-08-17,21.61308029,13.23775115
595,2015-08-18,21.19480306,12.86732077
596,2015-08-19,20.77729032,12.50230787
597,2015-08-20,20.36294404,12.14180164
598,2015-08-21,19.96170841,11.7973707
599,2015-08-22,19.55061609,11.44039142
600,2015-08-23,19.1802764,11.11523908
601,2015-08-24,18.7759626,10.76366068
602,2015-08-25,18.41791744,10.43439532
603,2015-08-26,18.41754902,10.45328176
604,2015-08-27,18.78806929,10.84348051
605,2015-08-28,19.9221835,12.03782798
606,2015-08-29,19.9221835,12.03782798
607,2015-08-30,19.74412285,11.89815037
608,2015-08-31,19.40379671,11.60050537
609,2015-09-01,19.09833681,11.33100755
610,2015-09-02,18.82712686,11.08846933
611,2015-09-03,18.51657121,10.81846066
612,2015-09-04,18.33332128,10.65781646
613,2015-09-05,18.45857031,10.7824193
614,2015-09-06,18.27771989,10.61969811
615,2015-09-07,18.03020166,10.40177866
616,2015-09-08,17.77749651,10.17879497
617,2015-09-09,17.55622209,9.981038357
618,2015-09-10,17.28560196,9.740233832
619,2015-09-11,17.03114047,9.515125035
620,2015-09-12,16.83676619,9.346306216
621,2015-09-13,16.73680693,9.266266142
622,2015-09-14,16.55603565,9.121757273
623,2015-09-15,16.38989679,8.989131535
624,2015-09-16,16.97843333,9.60892549
625,2015-09-17,19.33562033,12.0798154
626,2015-09-18,23.98912738,16.74005157
627,2015-09-19,24.01060681,16.76267179
628,2015-09-20,24.03208625,16.785292
629,2015-09-21,24.33709423,17.00433273
630,2015-09-22,24.35857367,16.95130196
631,2015-09-23,25.43747007,17.65313454
632,2015-09-24,25.71068037,17.59318326
633,2015-09-25,26.32465184,17.98501347
634,2015-09-26,26.08310123,17.59000898
635,2015-09-27,25.92206749,17.32667266
636,2015-09-28,25.81471166,17.1511151
637,2015-09-29,25.7431411,17.03407674
638,2015-09-30,25.6954274,16.95605116
639,2015-10-01,25.83831768,17.08801187
640,2015-10-02,25.83190853,17.06891665
641,2015-10-03,25.75460569,16.97927777
642,2015-10-04,25.70307046,16.91951851
643,2015-10-05,25.66871364,16.87967901
644,2015-10-06,25.64580909,16.85311934
645,2015-10-07,25.6305394,16.83541289
646,2015-10-08,25.6203596,16.8236086
647,2015-10-09,25.60284486,16.81573906
648,2015-10-10,25.55430596,16.81049271
649,2015-10-11,25.47410085,16.8065272
650,2015-10-12,25.4054358,16.7499261
651,2015-10-13,25.33366407,16.6900939
652,2015-10-14,25.27020455,16.63633234
653,2015-10-15,25.19512496,16.57172874
654,2015-10-16,25.11984258,16.50767424
655,2015-10-17,25.10529128,16.5012875
656,2015-10-18,25.03100767,16.43679688
