Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-06-02	9.2	15.9	5.3	20.6	6.9	1	396.438553458333
2015-06-03	7.8	12	4.9	12.3	8.9	1	394.710135583333
2015-06-04	8.7	12.5	4	16.9	6.4	1	395.909390625
2015-06-05	9.3	15.3	2.1	22.2	6	1	395.757440458333
2015-06-06	6.6	10.4	0.3	4.7	8.4	1	394.202837166667
2015-06-07	8	11	4.7	11.1	8.8	1	395.263916333333
2015-06-08	8.3	13	3.9	15.7	5.8	1	396.793346166667
2015-06-09	8.9	12.9	3.5	18.2	6.2	1	396.355606770833
2015-06-10	10.5	16.3	5.9	15.1	7.1	1	395.335900520833
2015-06-11	9.6	15.4	4.7	20.1	5.6	1	395.0867765625
2015-06-12	11.3	17.6	3.7	17.5	7.5	1	394.854263729167
2015-06-13	9.6	14.8	1.2	19.6	6.9	1	395.768234208333
2015-06-14	7.6	13	-0.6	13.8	6.6	1	394.4722203125
2015-06-15	8.7	15.1	4.4	20.5	6.5	1	395.468490104167
2015-06-16	8.9	15	3.3	19.1	5.4	1	394.925111979167
2015-06-17	8.6	14.2	1	15.5	6.1	1	394.235038020833
2015-06-18	9.2	16.7	-1	18.6	6.4	1	392.4259493125
2015-06-19	12.8	20	5.8	19	7.6	1	390.6509640625
2015-06-20	13.2	19.9	5.6	18.1	7.9	1	391.376149833333
2015-06-21	14	21.4	4.2	27	7.1	1	392.12041475
2015-06-22	13.1	20.4	5.2	14.7	11.7	1	389.672551470588
2015-06-23	12.8	19.6	6.1	19.7	10.4	1	389.697019791667
2015-06-24	11.2	18	4.4	9.5	11.1	1	389.241089772727
2015-06-25	11.2	13.5	9.3	6.7	12.1	1	392.6311171875
2015-06-26	11.6	15	9.1	6.7	12.6	1	391.867527604167
2015-06-27	12.5	18.1	8.5	17.5	10.8	1	388.468012130435
2015-06-28	14.8	22.1	7	27.5	8.1	1	390.843338541667
2015-06-29	14.5	21.8	5	16.3	9.8	1	389.471822977778
2015-06-30	12.1	16.6	8.5	14.1	10.6	1	389.848690617021
2015-07-01	14.7	20.6	5.7	23.2	9	1	392.411532956522
2015-07-02	19.7	27	12.4	19.9	13.5	1	391.322383854167
2015-07-03	20.3	28.8	14.6	16.2	16.3	1	393.569213020833
2015-07-04	16.6	21.3	11.2	17.9	11.8	1	394.145783854167
2015-07-05	11.1	15.1	3.1	10.9	9.6	1	392.1083415
2015-07-06	11	17.7	1.4	18	8.7	1	389.276296708333
2015-07-07	11.7	13.7	9.2	3.8	13.1	1	394.071228645833
2015-07-08	13.5	18.7	8.9	16.7	12	1	392.299922395833
2015-07-09	12.3	14.7	10.7	6.1	13.6	1	392.349497826087
2015-07-10	13.2	18.2	8.8	14.8	12.4	1	389.507389130435
2015-07-11	13.3	18.5	8.7	11.5	13.3	1	391.081061111111
2015-07-12	11.9	17.2	7.6	12.8	10.4	1	389.078324375
